index,Group,Cluster,Primary_Focus,Number_of_Studies,Effectiveness_Consolidated_Max,Adoption_Consolidated_Max,Impact_Consolidated_Max,Scalability_Consolidated_Max,Data_Quality_Note
0,G1,C1,Governance and coordination of the CTI sharing ecosystem,3,E2,E4,E2,E0,
1,G1,C2,"Trust, auditability, accountability, privacy/anonymity, and selective sharing",11,E4,E4,E4,E5,
2,G1,C3,Operationalization of the CTI cycle and integration with SOC/IR,10,E4,E4,E4,E5,
3,G1,C4,"Evaluation models for maturity, capabilities, and CTI-driven readiness",2,E4,E3,E4,E3,
4,G1,C5,Sectoral and compliance-oriented models and architectures,3,E3,E3,E2,E2,
5,G2,T1,TIP platforms and integrated suites,29,E5,E5,E4,E5,
6,G2,T2,Operational sharing and dissemination,22,E5,E4,E4,E4,
7,G2,T3,Ingestion and normalization,4,E4,E1,E4,E3,
8,G2,T4,"Operational data curation, quality, and governance",11,E4,E3,E3,E5,
9,G2,T5,"Enrichment, correlation, and analysis",17,E5,E5,E4,E5,
10,G2,T6,Operational consumption and integration,15,E4,E4,E4,E3,
11,G2,T7,Technical protection controls for CTI sharing,3,E2,E3,E1,E1,
12,G3,I1,"CTI structure and representation, including data models and formats",6,E4,E3,E4,E4,
13,G3,I2,Automated CTI transport and exchange between producers and consumers,1,E4,E0,E3,E3,
14,G3,I3,"Operational consumption through rules, signatures, and detection/response playbooks",2,E4,E3,E4,E3,
15,G3,I4,Interoperability and integration in operational ecosystems,2,E4,E3,E4,E4,
16,G4,S1,Terminological standardization and CTI classification,8,E4,E3,E3,E3,
17,G4,S2,"Semantic entities, relationships, and graph-based integration",7,E4,E3,E4,E3,
18,G4,S3,"TTPs and attack chains: semantic alignment, mapping, and navigation",11,E4,E2,E4,E3,
19,G4,S4,Sectoral and contextualized taxonomies/ontologies for domain and compliance needs,5,E4,E4,E3,E4,
