Group,Cluster,Cluster_Label,Number_of_Studies,Effectiveness_Max,Effectiveness_Median,Adoption_Max,Adoption_Median,Impact_Max,Impact_Median,Scalability_Max,Scalability_Median
G1,C2,"Trust, auditability, accountability, and privacy",11,E4,2.0,E4,0.0,E4,2.0,E5,2.0
G1,C3,Operationalization of the CTI cycle and SOC/IR integration,10,E4,3.0,E4,2.0,E4,1.5,E5,2.0
G2,T1,TIPs and end-to-end integrated suites,29,E5,2.0,E5,2.0,E4,2.0,E5,2.0
G2,T2,Operational sharing and dissemination,22,E5,2.0,E4,1.0,E4,2.0,E4,2.0
G2,T4,"Curation, quality, and operational-data governance",11,E4,2.0,E3,0.0,E3,1.0,E5,2.0
G2,T5,"Enrichment, correlation, and analysis",17,E5,2.0,E5,0.0,E4,2.0,E5,2.0
G2,T6,Operational consumption and integration,15,E4,3.0,E4,2.0,E4,2.0,E3,2.0
G3,I3,Actionable detection and response formats,2,E4,4.0,E3,2.0,E4,3.5,E3,3.0
G4,S1,Taxonomies for terminological standardization and classification,8,E4,2.0,E3,1.0,E3,2.0,E3,2.0
G4,S2,Semantic entity and relation models,7,E4,3.0,E3,1.0,E4,2.0,E3,2.0
