BibTeX_Key,Reference_Number,Authors,Title,Year,Bibliographic_Details,DOI,DOI_URL,Traceability_Group,Group_Label,Traceability_Cluster,Cluster_Label
r1,1,M. Chen and K. Zhu and B. Lü and D. Li and Q. Yuan and Y. Zhu,AECR: Automatic attack technique intelligence extraction based on fine-tuned large language model,2025,"Computers and Security, vol. 150",10.1016/j.cose.2024.104213,https://doi.org/10.1016/j.cose.2024.104213,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r2,2,M. Akbari Gurabi and Ö. Sen and N. null and A. Ulbig and S. Decker,Enhancing Cyber Threat Intelligence Sharing through Data Spaces in Critical Infrastructures,2025,"Institute of Electrical and Electronics Engineers Inc., pp. 83 - 90",10.1109/CSR64739.2025.11130001,https://doi.org/10.1109/CSR64739.2025.11130001,G2,Technical artifacts,T2,Operational sharing and dissemination
r3,3,S. Pandey and H. Azath and R. U. Rahman and S. H. Lamkuche,"Privacy-Preserving Model for Cyber Threat Intelligence, Sharing Across Multi-Organizational Platforms",2025,"Institute of Electrical and Electronics Engineers Inc., pp. 437 - 442",10.1109/CSNT64827.2025.10968450,https://doi.org/10.1109/CSNT64827.2025.10968450,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r4,4,K. Dunnett and S. Pal and Z. Jadidi and V. Dedeoglu and R. Jurdak,Priv-Share: A privacy-preserving framework for differential and trustless delegation of cyber threat intelligence using blockchain,2024,"Computer Networks, vol. 252",10.1016/j.comnet.2024.110686,https://doi.org/10.1016/j.comnet.2024.110686,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r5,5,G. Hatzivasilis and E. Lakka and M. Athanatos and S. Ioannidis and G. Kalogiannis and M. Chatzimpyrros and others,Swarm-intelligence for the modern ICT ecosystems,2024,"International Journal of Information Security, vol. 23, pp. 2951 - 2975",10.1007/s10207-024-00869-1,https://doi.org/10.1007/s10207-024-00869-1,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r6,6,A. Venčkauskas and J. Toldinas and N. Morkevičius and F. Sanfilippo,An Email Cyber Threat Intelligence Method Using Domain Ontology and Machine Learning,2024,"Electronics (Switzerland), vol. 13",10.3390/electronics13142716,https://doi.org/10.3390/electronics13142716,G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r7,7,O. Sorokoletova and E. Antonioni and G. Colo,Towards a scalable AI-driven framework for data-independent Cyber Threat Intelligence Information Extraction,2024,"Institute of Electrical and Electronics Engineers Inc., pp. 398 - 406",10.1109/FLLM63129.2024.10852465,https://doi.org/10.1109/FLLM63129.2024.10852465,G3,Interoperability,I1,Standardized CTI models and formats
r8,8,H. Wang and A. Iacovazzi and S. Kim and S. Raza,CLEVER: Crafting Intelligent MISP for Cyber Threat Intelligence,2024,IEEE Computer Society,10.1109/LCN60385.2024.10639749,https://doi.org/10.1109/LCN60385.2024.10639749,G2,Technical artifacts,T3,Ingestion and normalization
r9,9,I. Chalkias and C. Yucel and D. Mallis and J. Rajamäki and F. de Vecchis and P. Hagstrom and others,An Empirical Evaluation of Cyber Threat Intelligence Sharing in the ECHO Early Warning System,2024,"Communications in Computer and Information Science, vol. 1790, pp. 23 - 40",10.1007/978-3-031-44440-1_3,https://doi.org/10.1007/978-3-031-44440-1_3,G3,Interoperability,I4,Ecosystem-oriented interoperability
r10,10,V. Jesus and B. Bains and V. I. Chang,"Sharing Is Caring: Hurdles and Prospects of Open, Crowd-Sourced Cyber Threat Intelligence",2024,"IEEE Transactions on Engineering Management, vol. 71, pp. 6854 - 6873",10.1109/TEM.2023.3279274,https://doi.org/10.1109/TEM.2023.3279274,G2,Technical artifacts,T6,Operational consumption and integration
r11,11,M. Sarhan and S. Layeghy and N. Moustafa and M. Portmann,Cyber Threat Intelligence Sharing Scheme Based on Federated Learning for Network Intrusion Detection,2023,"Journal of Network and Systems Management, vol. 31",10.1007/s10922-022-09691-3,https://doi.org/10.1007/s10922-022-09691-3,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r12,12,A. K. Daou and F. Li and S. N. Shiaeles,A Cost-Efficient Threat Intelligence Platform Powered by Crowdsourced OSINT,2023,"Institute of Electrical and Electronics Engineers Inc., pp. 48 - 53",10.1109/CSR57506.2023.10225008,https://doi.org/10.1109/CSR57506.2023.10225008,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r13,13,F. Settanni and L. Regano and C. Basile and A. Lioy,A Model for Automated Cybersecurity Threat Remediation and Sharing,2023,"Institute of Electrical and Electronics Engineers Inc., pp. 492 - 497",10.1109/NetSoft57336.2023.10175486,https://doi.org/10.1109/NetSoft57336.2023.10175486,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r14,14,M. Guarascio and N. Cassavia and F. S. Pisani and G. Manco,Boosting Cyber-Threat Intelligence via Collaborative Intrusion Detection,2022,"Future Generation Computer Systems, vol. 135, pp. 30 - 43",10.1016/j.future.2022.04.028,https://doi.org/10.1016/j.future.2022.04.028,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r15,15,H. Fereidooni and A. Dmitrienko and P. Rieger and M. Miettinen and A. R. Sadeghi and F. Madlener,FedCRI: Federated Mobile Cyber-Risk Intelligence,2022,The Internet Society,10.14722/ndss.2022.23153,https://doi.org/10.14722/ndss.2022.23153,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r16,16,K. Nguyen and S. Pal and Z. Jadidi and A. Dorri and R. Jurdak,A Blockchain-Enabled Incentivized Framework for Cyber Threat Intelligence Sharing in ICS,2022,"Institute of Electrical and Electronics Engineers Inc., pp. 261 - 266",10.1109/PerComWorkshops53856.2022.9767226,https://doi.org/10.1109/PerComWorkshops53856.2022.9767226,G2,Technical artifacts,T7,Technical protection controls in sharing
